NumPy,https://numpy.org/doc/
Pandas,https://pandas.pydata.org/docs/
Matplotlib,https://matplotlib.org/stable/contents.html
SciPy,https://docs.scipy.org/doc/scipy/
Seaborn,https://seaborn.pydata.org/
Scikit-learn,https://scikit-learn.org/stable/
TensorFlow,https://www.tensorflow.org/
Keras,https://keras.io/
PyTorch,https://pytorch.org/docs/stable/index.html
Flask,https://flask.palletsprojects.com/en/latest/
Django,https://docs.djangoproject.com/en/stable/
Requests,https://docs.python-requests.org/en/latest/
Beautiful Soup,https://www.crummy.com/software/BeautifulSoup/bs4/doc/
Scrapy,https://docs.scrapy.org/en/latest/
SQLAlchemy,https://docs.sqlalchemy.org/en/latest/
Pillow,https://pillow.readthedocs.io/en/stable/
OpenCV,https://docs.opencv.org/master/
NLTK,https://www.nltk.org/
Gensim,https://radimrehurek.com/gensim/
spaCy,https://spacy.io/usage
PyGame,https://www.pygame.org/docs/
Twisted,https://twistedmatrix.com/documents/current/
Bokeh,https://docs.bokeh.org/en/latest/
Plotly,https://plotly.com/python/
Dash,https://dash.plotly.com/
Pytest,https://docs.pytest.org/en/latest/
Unittest,https://docs.python.org/3/library/unittest.html
Selenium,https://www.selenium.dev/documentation/
PyPDF2,https://pypdf2.readthedocs.io/en/latest/
ReportLab,https://www.reportlab.com/docs/
PyQt,https://www.riverbankcomputing.com/software/pyqt/intro
PySide,https://doc.qt.io/qtforpython/
wxPython,https://wxpython.org/
PySerial,https://pyserial.readthedocs.io/en/latest/
Pydantic,https://docs.pydantic.dev/latest/
FastAPI,https://fastapi.tiangolo.com/
Tornado,https://www.tornadoweb.org/en/stable/
Celery,https://docs.celeryq.dev/en/stable/
Luigi,https://luigi.readthedocs.io/en/stable/
Airflow,https://airflow.apache.org/docs/
Fabric,https://www.fabfile.org/
Paramiko,http://www.paramiko.org/
Asyncio,https://docs.python.org/3/library/asyncio.html
Pytest-Django,https://pytest-django.readthedocs.io/en/latest/
Pymongo,https://pymongo.readthedocs.io/en/stable/
Redis-py,https://redis-py.readthedocs.io/en/stable/
Pyarrow,https://arrow.apache.org/docs/python/
Dask,https://docs.dask.org/en/latest/
Ray,https://docs.ray.io/en/latest/
XGBoost,https://xgboost.readthedocs.io/en/stable/
sentence-transformer,https://sbert.net/
